iter	Passed	Remaining
211	46303	62902
212	46513	62672
213	46710	62426
214	46869	62129
215	47059	61874
216	47322	61715
217	47524	61476
218	47762	61284
219	48018	61114
220	48283	60955
221	48529	60770
222	48809	60629
223	49048	60435
224	49307	60264
225	49510	60025
226	49739	59819
227	49969	59612
228	50135	59330
229	50334	59088
230	50538	58851
231	50765	58642
232	51013	58457
233	51213	58217
234	51389	57949
235	51619	57743
236	51869	57560
237	52060	57310
238	52275	57086
239	52503	56879
240	52751	56691
241	52975	56478
242	53218	56284
243	53435	56063
244	53651	55841
245	53880	55632
246	54128	55443
247	54369	55246
248	54595	55034
249	54811	54811
250	54971	54533
251	55179	54304
252	55386	54073
253	55664	53911
254	55833	53644
255	56070	53442
256	56335	53266
257	56523	53018
258	56742	52799
259	56968	52585
260	57188	52368
261	57402	52144
262	57676	51974
263	57925	51781
264	58178	51592
265	58441	51410
266	58710	51234
267	58948	51030
268	59194	50832
269	59460	50651
270	59716	50461
271	59938	50242
272	60104	49976
273	60274	49715
274	60434	49446
275	60657	49229
276	60888	49018
277	61135	48820
278	61363	48607
279	61636	48428
280	61905	48246
281	62176	48065
282	62403	47850
283	62648	47647
284	62899	47450
285	63081	47200
286	63254	46944
287	63464	46716
288	63756	46548
289	63998	46343
290	64220	46123
291	64472	45925
292	64722	45725
293	64965	45519
294	65313	45387
295	65526	45160
296	65860	45015
297	66174	44856
298	66397	44635
299	66654	44436
300	66903	44231
301	67200	44058
302	67459	43859
303	67705	43652
304	67980	43462
305	68264	43278
306	68533	43084
307	68809	42894
308	69054	42684
309	69320	42486
310	69586	42288
311	69845	42086
312	70113	41889
313	70296	41640
314	70585	41454
315	70852	41255
316	71127	41061
317	71395	40861
318	71657	40658
319	71871	40427
320	72125	40219
321	72376	40009
322	72617	39793
323	72861	39578
324	73128	39376
325	73413	39184
326	73692	38987
327	73951	38779
328	74241	38587
329	74526	38392
330	74795	38188
331	75108	38006
332	75381	37804
333	75615	37581
334	75797	37333
335	76048	37118
336	76282	36896
337	76524	36677
338	76777	36463
339	76988	36229
340	77219	36005
341	77441	35777
342	77649	35542
343	77900	35326
344	78074	35076
345	78309	34854
346	78492	34609
347	78704	34376
348	78891	34133
349	79137	33916
350	79392	33702
351	79652	33490
352	79922	33282
353	80105	33037
354	80382	32832
355	80680	32634
356	80933	32418
357	81109	32172
358	81350	31950
359	81583	31727
360	81802	31497
361	81982	31253
362	82220	31030
363	82478	30816
364	82728	30598
365	82991	30384
366	83249	30169
367	83507	29953
368	83805	29752
369	83995	29511
370	84256	29296
371	84497	29074
372	84695	28837
373	84939	28615
374	85183	28394
375	85429	28173
376	85729	27970
377	86010	27759
378	86203	27521
379	86461	27303
380	86731	27089
381	87006	26876
382	87239	26650
383	87465	26421
384	87721	26202
385	87962	25978
386	88167	25744
387	88415	25521
388	88676	25303
389	88936	25084
390	89175	24859
391	89411	24633
392	89650	24408
393	89914	24190
394	90191	23974
395	90463	23758
396	90747	23544
397	90999	23321
398	91257	23100
399	91499	22874
400	91788	22661
401	92036	22436
402	92220	22197
403	92508	21982
404	92726	21750
405	92951	21520
406	93192	21294
407	93345	21048
408	93539	20811
409	93732	20575
410	93995	20354
411	94139	20107
412	94348	19874
413	94601	19651
414	94845	19426
415	95075	19198
416	95314	18971
417	95528	18740
418	95773	18514
419	95989	18283
420	96145	18041
421	96372	17812
422	96586	17581
423	96798	17350
424	97043	17125
425	97202	16884
426	97427	16656
427	97652	16427
428	97900	16202
429	98143	15976
430	98359	15746
431	98611	15522
432	98864	15297
433	99082	15067
434	99322	14841
435	99579	14617
436	99834	14392
437	100080	14166
438	100368	13946
439	100618	13720
440	100873	13495
441	101128	13270
442	101356	13041
443	101593	12813
444	101842	12587
445	102080	12359
446	102310	12130
447	102556	11903
448	102740	11669
449	103009	11445
450	103258	11218
451	103512	10992
452	103722	10761
453	103975	10535
454	104222	10307
455	104480	10081
456	104729	9854
457	104979	9626
458	105253	9401
459	105530	9176
460	105788	8949
461	106024	8720
462	106289	8493
463	106543	8266
464	106786	8037
465	107001	7806
466	107251	7578
467	107491	7349
468	107760	7122
469	107995	6893
470	108227	6663
471	108459	6434
472	108647	6201
473	108901	5973
474	109138	5744
475	109416	5516
476	109655	5287
477	109885	5057
478	110133	4828
479	110344	4597
480	110578	4367
481	110909	4141
482	111121	3911
483	111350	3680
484	111599	3451
485	111863	3222
486	112099	2992
487	112344	2762
488	112630	2533
489	112893	2303
490	113139	2073
491	113384	1843
492	113623	1613
493	113854	1382
494	114067	1152
495	114243	921
496	114470	690
497	114657	460
498	114855	230
499	115041	0
