iter	Logloss
0	0.6450438395
1	0.6044951499
2	0.5627054185
3	0.5246857627
4	0.4950466362
5	0.4701777258
6	0.441275105
7	0.4164449904
8	0.3931811928
9	0.3758722657
10	0.3556310272
11	0.3374542112
12	0.32231788
13	0.3081328066
14	0.2956633138
15	0.2868266328
16	0.2730359597
17	0.2632210953
18	0.2540375744
19	0.2464372623
20	0.2394880159
21	0.2337206463
22	0.2285147964
23	0.2237361549
24	0.2193880987
25	0.2150200609
26	0.2113730324
27	0.2078588175
28	0.2044949447
29	0.201343486
30	0.198771586
31	0.1954709208
32	0.1925726515
33	0.1902507813
34	0.1877799936
35	0.1856870846
36	0.1839147329
37	0.1821486833
38	0.1799988018
39	0.1784576368
40	0.1770919822
41	0.1757808246
42	0.1743379206
43	0.1732230961
44	0.172372775
45	0.171401422
46	0.1700383302
47	0.1690342766
48	0.1681560559
49	0.1673247902
50	0.1664102836
51	0.165640795
52	0.164953172
53	0.1641868198
54	0.1633944991
55	0.162698495
56	0.1619884833
57	0.1613177742
58	0.1606854676
59	0.1600756513
60	0.1596883519
61	0.1591411641
62	0.1587394252
63	0.1583809173
64	0.1578633977
65	0.1573296515
66	0.1568421378
67	0.1563416495
68	0.1558240533
69	0.1553518552
70	0.1548905108
71	0.1544633867
72	0.1540325078
73	0.1537082751
74	0.1533394627
75	0.1530343708
76	0.1526240185
77	0.1523115114
78	0.1519644083
79	0.1516870413
80	0.1513826821
81	0.1511403987
82	0.1509044168
83	0.1506246992
84	0.1504198155
85	0.1500991346
86	0.1499062052
87	0.1497595404
88	0.1495742296
89	0.1491641553
90	0.1489074169
91	0.1487385368
92	0.1485434412
93	0.1483401436
94	0.1480866138
95	0.1478278043
96	0.1476915261
97	0.1475242455
98	0.1473827968
99	0.1472253456
100	0.1471063632
101	0.1469658885
102	0.1467935035
103	0.1466000615
104	0.1465069495
105	0.1463171044
106	0.146125081
107	0.1459145171
108	0.1457773767
109	0.1456242947
110	0.1455435577
111	0.1454298706
112	0.1453074646
113	0.1452115764
114	0.1450894518
115	0.1450032835
116	0.1448586328
117	0.1447393924
118	0.1446345849
119	0.1444826637
120	0.1444066876
121	0.1442712536
122	0.144219525
123	0.1441574426
124	0.1440626664
125	0.1440028048
126	0.1438603999
127	0.1437680109
128	0.1436052138
129	0.1435515813
130	0.1435105456
131	0.1434207111
132	0.1433507266
133	0.1432645658
134	0.1432284462
135	0.143125085
136	0.1430218751
137	0.1429196433
138	0.1428105415
139	0.1427525195
140	0.1427177836
141	0.1425989445
142	0.1425312611
143	0.1424822375
144	0.1424140166
145	0.1422743835
146	0.1422127174
147	0.1420821441
148	0.1420320253
149	0.1419188633
150	0.1418369846
151	0.1417248453
152	0.1416284564
153	0.1414996933
154	0.1413970125
155	0.1413155905
156	0.1412310534
157	0.1411559809
158	0.1411168504
159	0.1410780248
160	0.1410181867
161	0.1409384324
162	0.1408535349
163	0.1407802895
164	0.1406959453
165	0.1405770136
166	0.1405429856
167	0.1404941782
168	0.1403858197
169	0.1403097193
170	0.1402430746
171	0.1402045807
172	0.1401467585
173	0.1401053428
174	0.14008071
175	0.1400354103
176	0.1399729553
177	0.1399227115
178	0.1398661508
179	0.139822391
180	0.1397005849
181	0.1396458774
182	0.1396121267
183	0.1395582834
184	0.1394918791
185	0.1394257637
186	0.1393786546
187	0.1393117355
188	0.1392336385
189	0.1391729126
190	0.1390983456
191	0.1390692529
192	0.1389945192
193	0.1389387772
194	0.1388560942
195	0.1387885616
196	0.1387684845
197	0.1387040253
198	0.1386766314
199	0.1386103576
200	0.1385017822
201	0.1384284446
202	0.1383835606
203	0.1383686616
204	0.1382649506
205	0.1381985587
206	0.138184024
207	0.1381358557
208	0.1381073564
209	0.1380713872
210	0.1380479852
211	0.1380002128
212	0.1379674899
213	0.1379445153
214	0.137892157
215	0.1378247535
216	0.1377527134
217	0.1377045772
218	0.1376476154
219	0.1376204138
220	0.1375763094
221	0.1375002737
222	0.137469053
223	0.1374180473
224	0.1373438068
225	0.1372796396
226	0.1372165621
227	0.1371759803
228	0.1371145302
229	0.1370754116
230	0.1370516495
231	0.1369808166
232	0.1369210985
233	0.1368684478
234	0.1368264309
235	0.136778758
236	0.1367357924
237	0.1366878939
238	0.1366640422
239	0.1366401716
240	0.1365774718
241	0.1365150905
242	0.1364620608
243	0.1364089354
244	0.13637462
245	0.1363146655
246	0.1362571083
247	0.1362047972
248	0.1361638509
249	0.1361143189
250	0.1360690298
251	0.1360148515
252	0.1359684117
253	0.1359055683
254	0.1358821294
255	0.1358460279
256	0.1357960132
257	0.1357635315
258	0.1357145196
259	0.1356452003
260	0.1356159246
261	0.1355698866
262	0.1355197188
263	0.1354695253
264	0.1354322323
265	0.1353882976
266	0.1353430899
267	0.135312871
268	0.1352883085
269	0.1352671524
270	0.1352569863
271	0.1352059429
272	0.1351833803
273	0.1351362775
274	0.1350923266
275	0.135049878
276	0.1349868247
277	0.1349386318
278	0.1348869551
279	0.1348305413
280	0.1348052297
281	0.1347857067
282	0.1347367815
283	0.1346682117
284	0.1346161426
285	0.1345616749
286	0.1345077376
287	0.1344665971
288	0.1344203138
289	0.1343716781
290	0.1343342208
291	0.1343069849
292	0.1342600154
293	0.1342267153
294	0.134199098
295	0.1341763316
296	0.1341339139
297	0.1340920785
298	0.1340438611
299	0.1340186227
300	0.1339601128
301	0.1339291158
302	0.1338809763
303	0.133841936
304	0.133812731
305	0.1337654253
