iter	Logloss
306	0.1337455967
307	0.1336922585
308	0.1336595798
309	0.133620842
310	0.1335523311
311	0.1335255823
312	0.1334859521
313	0.1334576429
314	0.1334395976
315	0.1334025576
316	0.1333785138
317	0.1333632115
318	0.1333316945
319	0.1332811488
320	0.1332144375
321	0.1331694375
322	0.1331186869
323	0.133081145
324	0.133053729
325	0.1329834591
326	0.1329678092
327	0.1329468536
328	0.1329135794
329	0.1328697592
330	0.1328425576
331	0.1328315619
332	0.1328050297
333	0.1327554361
334	0.1327067753
335	0.1326863179
336	0.1326619335
337	0.1326002937
338	0.1325765012
339	0.13253119
340	0.132502505
341	0.1324418565
342	0.1323244452
343	0.1322890182
344	0.1322471673
345	0.132210027
346	0.1321319702
347	0.1320731335
348	0.1320415483
349	0.1320152584
350	0.1319890438
351	0.1319590383
352	0.1318874566
353	0.1318371259
354	0.1317752297
355	0.1317396275
356	0.1317028803
357	0.1316613913
358	0.1316289643
359	0.1315519237
360	0.1315194791
361	0.1314831193
362	0.1314592137
363	0.1314301747
364	0.1313556719
365	0.1313227129
366	0.1312765707
367	0.131217458
368	0.1311887475
369	0.1311407938
370	0.1311107956
371	0.131053933
372	0.1309894972
373	0.1309568005
374	0.1309054937
375	0.1308401431
376	0.1307961693
377	0.1307430741
378	0.1307149511
379	0.1306781119
380	0.1306458972
381	0.1305831239
382	0.1305152164
383	0.1304692344
384	0.1303818993
385	0.1303456625
386	0.1302766649
387	0.1302151966
388	0.130175026
389	0.130115741
390	0.1301010931
391	0.130032496
392	0.1299997946
393	0.1299592296
394	0.1299184125
395	0.1298881423
396	0.1298476099
397	0.1298140761
398	0.1297405477
399	0.1296800224
400	0.1295932258
401	0.1295417673
402	0.1294828325
403	0.1294343712
404	0.1294123155
405	0.1294046195
406	0.129357479
407	0.1293137556
408	0.1292724684
409	0.1292039423
410	0.1291397211
411	0.1291125015
412	0.1290833073
413	0.1290501785
414	0.1290253394
415	0.1289805216
416	0.1289204702
417	0.1288575773
418	0.1288474506
419	0.1287980971
420	0.1287215891
421	0.1286542345
422	0.1285667746
423	0.1285069791
424	0.1284898941
425	0.1284618139
426	0.1284226394
427	0.1283828296
428	0.1283129923
429	0.1282922999
430	0.1282473245
431	0.1282019366
432	0.1281370582
433	0.1280984101
434	0.1280858334
435	0.1280265934
436	0.1279640674
437	0.127893826
438	0.1278504797
439	0.1277941153
440	0.127730166
441	0.1277094653
442	0.1276424882
443	0.1275874226
444	0.1275229874
445	0.1274962584
446	0.1274527973
447	0.1273900843
448	0.1273453838
449	0.1273043515
450	0.1272730187
451	0.1272430882
452	0.1271981498
453	0.1271419414
454	0.1271238199
455	0.1270784723
456	0.1270442245
457	0.1270077172
458	0.1269669264
459	0.1269318524
460	0.1268817507
461	0.1268448041
462	0.1268200389
463	0.1267882602
464	0.1267359642
465	0.1266846026
466	0.1266581402
467	0.1266347601
468	0.1265950795
469	0.1265510672
470	0.1265259792
471	0.1264763665
472	0.1264323854
473	0.1264023369
474	0.1263589984
475	0.1263255126
476	0.126248415
477	0.1261724086
478	0.1261348938
479	0.1261090441
480	0.1260675943
481	0.1260287919
482	0.1259744886
483	0.1259155312
484	0.1258901409
485	0.1258453158
486	0.1258003182
487	0.125779381
488	0.1257493764
489	0.1257152331
490	0.1256740676
491	0.125581502
492	0.1255177625
493	0.125447967
494	0.1254068269
495	0.1253644724
496	0.1253210633
497	0.1252671399
498	0.1251961686
499	0.1251563943
