year,rubles
2023,16242.0
2022,14584.5
2021,12792.0
2020,12130.0
2019,11280.0
2018,10326.0
2017,7800.0
2016,6852.0
2015,5965.0
2014,5554.0
2013,5205.0
2012,4611.0
2011,4611.0
2010,4330.0
2009,4330.0
2008,2300.0
2007,2300.0
2006,1100.0
2005,760.0
2004,600.0
2003,600.0
2002,450.0
2001,250.0
2000,132.0
1999,83.49
1998,83.49
1997,83490.0
1996,75900.0
1995,50270.0
1994,20500.0
1993,7220.0
