region,value
КАБАНСКИЙ,0.03125
КУМЕНСКИЙ,0.0
СОВЕТСКИЙ,0.0227272727
МОСРЕНТГЕН,0.0
КУШНАРЕНКОВСКИЙ,0.0078125
КАЛМЫКИЯ,0.0
ХАЙБУЛЛИНСКИЙ,0.0
МЕЛЕУЗОВСКИЙ,0.0238095238
КОТЛОВКА,0.0
ВОСКРЕСЕНСКОЕ,0.0
КРАСНОУФИМСКИЙ,0.0
КАЛИНИНСКИЙ,0.0434782609
ОКРУГ,0.0
ТЕРСКИЙ,0.0
ТЫМОВСКИЙ,0.0
БЕЛГОРОДСКИЙ,1.0
ИСИКУЛЬСКИЙ,0.2
САЛАВАТСКИЙ,0.0188679245
ГАФУРИЙСКИЙ,0.01
ЗАБАЙКАЛЬСКИЙ,0.015037594
ТЮМЕНСКАЯ,0.0165562914
УДМУРТСКАЯ,0.0254411549
ЧЕРНУШИНСКИЙ,0.1428571429
"БЕЛАРУСЬ,",0.125
ДОНЕЦКАЯ,0.0
БЕЛОРЕЦКИЙ,0.0238095238
БУРЗЯНСКИЙ,0.0
АМУРСКАЯ,0.000648824
ЦЕНТРАЛЬНЫЙ,0.0
БЛАГОВЕЩЕНСКИЙ,0.0268456376
ХАНТЫ-МАНСИЙСКИЙ-ЮГРА,0.0095491085
КАЛИНИНГРАДСКАЯ,0.0051332675
ЗИАНЧУРИНСКИЙ,0.0303030303
МИНСКАЯ,0.0
КОСТРОМСКАЯ,0.0074982958
ДОЛИНСКИЙ,0.0
БРЕСТСКИЙ,0.0
УЛЬЯНОВСКАЯ,0.0035121095
МОЛДАВИЯ,0.0
СУЗЕМСКИЙ,0.03125
ВОРОНЕЖСКАЯ,0.0173353838
АЛЬШЕЕВСКИЙ,0.0277777778
ИВАНОВСКАЯ,0.0070534699
НОВОСИБИРСКАЯ,0.0145760899
ЖИЛОБИНСКИЙ,0.0
НОВО-ОДЕССКИЙ,0.0588235294
КАЯКЕНТСКИЙ,0.0454545455
